Godless Girl, The (1929),,,,,
Frozen City (Valkoinen kaupunki) (2006) ,,,,,,
Mummy: Tomb of the Dragon Emperor, The (2008),,,,,
Midnight Meat Train, The (2008),,,,,
End of Summer, The (Early Autumn) (Kohayagawa-ke no aki) (1961),,,,,
Moment to Remember, A (Nae meorisokui jiwoogae) (2004),,,,,
Inside Paris (Dans Paris) (2006),,,,,,
Peppermint Candy (Bakha satang) (1999),,,,,,
Red Cliff (Chi bi) (2008),,,,,,
World's Greatest Lover, The (1977),,,,,
W Delta Z (a.k.a. The Killing Gene) (2007),,,,,,
Silent Light (Stellet licht) (2007),,,,,,
Sisterhood of the Traveling Pants 2, The (2008),,,,,
Good Humor Man, The (2005),,,,,
Still Life (Sanxia haoren) (2006),,,,,,
High School Musical 2 (2007),,,,,,
In the City of Sylvia (En la ciudad de Sylvia) (2007),,,,,,
13 Beloved (13 game sayawng) (2006),,,,,,
Waltz with Bashir (Vals im Bashir) (2008),,,,,,
Let the Right One In (Låt den rätte komma in) (2008),,,,,,
Hamlet 2 (2008),,,,,,
House Bunny, The (2008),,,,,
I.O.U.S.A. (a.k.a. IOUSA) (2008),,,,,,
Girl Cut in Two, The (Fille coupée en deux, La) (2007),,,,
Path to War (2002),,,,,,
Sukiyaki Western Django (2008),,,,,,
Babylon A.D. (2008),,,,,,
Woman in Black, The (1989),,,,,
Mother of Tears: The Third Mother (Terza madre, La) (2007),,,,,
John Adams (2008),,,,,,
Burning Plain, The (2008),,,,,
Seventh Cross, The (1944),,,,,
Boys in Company C, The (1978),,,,,
Secret, A (Un secret) (2007),,,,,
Flash Point (a.k.a. Flashpoint) (Dou fo sin) (2007),,,,,,
Fifth Commandment, The (2008),,,,,
That's Black Entertainment (1990),,,,,,
Half Life of Timofey Berezin, The (PU-239) (2006),,,,,
Sunflower (Xiang ri kui) (2005),,,,,,
DarkBlueAlmostBlack (Azuloscurocasinegro) (2006),,,,,,
Foot Fist Way, The (2006),,,,,
Shadows in Paradise (Varjoja paratiisissa) (1986),,,,,,
Accused (Anklaget) (2005),,,,,,
In Bed (En la cama) (2005),,,,,,
Sawdust and Tinsel (Gycklarnas afton) (1953),,,,,,
Boot Camp (2007),,,,,,
Autumn Afternoon, An (Sanma no aji) (1962),,,,,
So Normal (Normais, Os) (2003),,,,,
Steamroller and the Violin, The (Katok i skripka) (1961),,,,,
Tears of April (Käsky) (2008),,,,,,
1984 (1956),,,,,,
Friend Among Strangers, Stranger Among Friends (Svoy sredi chuzhikh, chuzhoy sredi svoikh) (1974),,,,
Look Back in Anger (1958),,,,,,
Secrets, The (Sodot, Ha-) (2007),,,,
Supermarket Woman (Sûpâ no onna) (1996),,,,,,
Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto) (1954),,,,,
Music Room, The (Jalsaghar) (1958),,,,,
Gomorrah (Gomorra) (2008),,,,,,
Funeral, The (Ososhiki) (1984),,,,,
Accidental Husband, The (2009),,,,,
KM 31: Kilometro 31 (2006),,,,,,
Tulse Luper Suitcases, Part 1: The Moab Story, The (2003),,,,
Wrong Man, The (1993),,,,,
Pool, The (2007),,,,,
W. (2008),,,,,,
Drowning Pool, The (1975),,,,,
Secret Life of Bees, The (2008),,,,,
American Carol, An (2008),,,,,
Wave, The (Welle, Die) (2008),,,,
Deux mondes, Les (2007),,,,,
Black River (Kuroi kawa) (1957),,,,,,
Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika) (2008),,,,,,
Taifu Club (Taifû kurabu) (1985),,,,,,
My Sons (Musuko) (1991),,,,,,
Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma) (1972),,,,,,
Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro) (1972),,,,,,
Love of Siam, The (Rak haeng Siam) (2007),,,,,
Wicked Lady, The (1945),,,,,
Adventures of Huckleberry Finn, The (1939),,,,,
Into the West (2005),,,,,,
Adventures of Tom Sawyer, The (1938),,,,,
Affairs of Anatol, The (1921),,,,,
Tale of Two Cities, A (1958),,,,,
Tokyo! (2008),,,,,,
Tokyo Gore Police (Tôkyô zankoku keisatsu) (2008),,,,,,
Caótica Ana (2007),,,,,,
Repast (Meshi) (1951),,,,,,
Happily Ever After (1993),,,,,,
Captain Mike Across America (Slacker Uprising) (2007),,,,,,
Crows Zero (Kurôzu zero) (2007),,,,,,
Homem Que Desafiou o Diabo, O (2007),,,,,
Winning of Barbara Worth, The (1926),,,,,
Whole Town's Talking, The (Passport to Fame) (1935),,,,,
War Lord, The (1965),,,,,
Säg att du älskar mig (2006),,,,,,
Christmas Story (Joulutarina) (2007),,,,,,
Guard Post, The (G.P. 506) (2008),,,,,
Every Stewardess Goes to Heaven (Todas las azafatas van al cielo) (2002),,,,,,
Christmas Tale, A (Un conte de Noël) (2008),,,,,
Critters 4 (1991),,,,,,
The Island (2006),,,,,,
Half Moon (a.k.a. Niwemang) (2006),,,,,,
Free Will, The (Freie Wille, Der) (2006),,,,
Where a Good Man Goes (Joi gin a long) (1999),,,,,,
Face of Another, The (Tanin no kao) (1966),,,,,
Three Monkeys (Üç maymun) (2008),,,,,,
Casanova '70 (1965),,,,,,
Tattooed Life (Irezumi ichidai) (1965),,,,,,
Living Sea, The (1995),,,,,
Dirty Dozen: Next Mission, The (1985),,,,,
Class, The (Entre les murs) (2008),,,,,
Manson Family, The (2003),,,,,
Devil Doll, The (1936),,,,,
Transporter 3 (2008),,,,,,
Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008),,,,
Stuff and Dough (Marfa si banii) (2001),,,,,,
Devil's Chair, The (2006),,,,,
Lonely Wife, The (Charulata) (1964),,,,,
Lady with the Dog, The (Dama s sobachkoy) (1960),,,,,
Bell Boy, The (1918),,,,,
Lovers, The (Les Amants) (1958),,,,,
Blue Light, The (Blaue Licht, Das) (1932),,,,
Pervert's Guide to Cinema, The (2006),,,,,
Women of the Night (Yoru no onnatachi) (1948),,,,,,
Wallace and Gromit in 'A Matter of Loaf and Death' (2008),,,,,,
Friend of Mine, A (Ein Freund von mir) (2006),,,,,
Long Night, The (1947),,,,,
Sun Shines Bright, The (1953),,,,,
Man Named Pearl, A (2006),,,,,
Day the Earth Stood Still, The (2008),,,,,
Strange Door, The (1951),,,,,
Pandora's Box (Pandora'nin kutusu) (2008),,,,,,
Marriage Made in Heaven, A (Rab Ne Bana Di Jodi) (2008),,,,,
Chamber of Death (Chambre des morts, La) (2007),,,,,
Waiter (Ober) (2006),,,,,,
Sword of the Stranger (Sutorejia: Mukô hadan) (2007),,,,,,
I've Loved You So Long (Il y a longtemps que je t'aime) (2008),,,,,,
Jesus Is a Palestinian (Jezus is een Palestijn) (1999),,,,,,
Pin... (1988),,,,,,
Love (2005),,,,,,
Animal Kingdom, The (1932),,,,,
Memory Keeper's Daughter, The (2008),,,,,
Little Giant, The (1933),,,,,
Small Cuts (Petites coupures) (2003),,,,,,
Tuya's Marriage (Tuya de hun shi) (2006),,,,,,
Curious Case of Benjamin Button, The (2008),,,,,
On the Rumba River (On the Rhumba River) (2007),,,,,,
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),,,,,,
Death Kiss, The (1933),,,,,
Girls Rock! (2007),,,,,,
American Loser (Trainwreck: My Life as an Idiot) (2007),,,,,,
King of Ping Pong, The (Ping-pongkingen) (2008),,,,,
Dr. Jack (1922),,,,,,
Grocer's Son, The (Fils de l'épicier, Le) (2007),,,,
Involuntary (De ofrivilliga) (2008),,,,,,
Ponyo (Gake no ue no Ponyo) (2008),,,,,,
Good Guys and the Bad Guys, The (1969),,,,,
Six in Paris (Paris vu par...) (1965),,,,,,
Young Gods (Hymypoika) (2003),,,,,,
General Died at Dawn, The (1936),,,,,
House of Sand (Casa de Areia) (2005),,,,,,
Earthsea (Legend of Earthsea) (2004),,,,,,
Open Season 2 (2008),,,,,,
Dungeonmaster, The (1985),,,,,
Young Visiters, The (2003),,,,,
Duel at Silver Creek, The (1952),,,,,
Tale of Despereaux, The (2008),,,,,
Mesrine: Killer Instinct (L'instinct de mort) (2008),,,,,,
My Bloody Valentine 3-D (2009),,,,,,
Blood and Bones (Chi to hone) (2004),,,,,,
Fûke, De (2000),,,,,
Timecrimes (Cronocrímenes, Los) (2007),,,,,
Secret of the Grain, The (La graine et le mulet) (2007),,,,,
Streaks, The (Pregi) (2004),,,,,
Grbavica: The Land of My Dreams (Grbavica) (2006),,,,,,
War Comes to America (Why We Fight, 7) (1945),,,,,
Shoot on Sight (2007),,,,,,
Lazarus Project, The (2008),,,,,
Man, The (1972),,,,,
Galaxy Express 999 (Ginga tetsudô Three-Nine) (1979),,,,,,
Fear[s] of the Dark (Peur[s] du noir) (2007),,,,,,
12:01 (1993),,,,,,
Maria (2003),,,,,,
Big Stampede, The (1932),,,,,
Blue (1968),,,,,,
Visitor, The (Muukalainen) (2008),,,,,
Kummeli Goldrush (Kummeli kultakuume) (1997),,,,,,
Shadow of the Holy Book (Pyhän kirjan varjo) (2007),,,,,,
Signos del zodiaco, Los (1964),,,,,
Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die) (1974),,,,
Grudge 3, The (2009),,,,,
Triumph of the Nerds, The: The Rise of Accidental Empires (1996),,,,,
Psychomania (Death Wheelers, The) (1973),,,,,
Chocolate (2008),,,,,,
Jar City (Mýrin) (2006),,,,,,
Numbskull Emptybrook (Uuno Turhapuro) (1973),,,,,,
California (1946),,,,,,
Cimarron Kid, The (1952),,,,,
Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),,,,,,
33 Scenes from Life (33 sceny z zycia) (2008),,,,,,
Frontière(s) (2007),,,,,,
11th Hour, The (2007),,,,,
Daddy (Tato) (1995),,,,,,
Death by Hanging (Koshikei) (1968),,,,,,
Last Movie, The (1971),,,,,
Dry Season (Daratt) (2006),,,,,,
Trancers (1985),,,,,,
Man Who Quit Smoking, The (Mannen som slutade röka) (1972),,,,,
Departures (Okuribito) (2008),,,,,,
Kimberly (1999),,,,,,
Rally On! (Ralliraita) (2009),,,,,,
Letter for the King, The (Brief voor de koning, De) (2008),,,,
Nuremberg (2000),,,,,,
Far Horizons, The (1955),,,,,
World Without Thieves, A (Tian xia wu zei) (2004),,,,,
Gunfight at Dodge City, The (1959),,,,,
Tough Enough (Knallhart) (2006),,,,,,
Black Watch, The (1929),,,,,
Thick as Thieves (a.k.a. Code, The) (2009),,,,,
Cry, The (Grido, Il) (1957),,,,
Big Lift, The (1950),,,,,
Wings (Krylya) (1966),,,,,,
Friday the 13th (2009),,,,,,
Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom) (2008),,,
Pink Panther 2, The (2009),,,,,
English Surgeon, The (2007),,,,,
Hell of a Day, A (Reines d'un jour) (2001),,,,,
Shara (Sharasojyu) (2003),,,,,,
Adventures of Food Boy, The (aka High School Superhero) (2008),,,,,
César (1936),,,,,,
Everlasting Moments (Maria Larssons eviga ögonblick) (2008),,,,,,
Expecting Love (Mala wielka milosc) (2008),,,,,,
Dr. Horrible's Sing-Along Blog (2008),,,,,,
Two Men in Manhattan (Deux hommes dans Manhattan) (1959),,,,,,
Hell Town (Born to the West) (1937),,,,,,
Hasty Heart, The (1949),,,,,
Quick and the Dead, The (1987),,,,,
Big Steal, The (1949),,,,,
Haunting in Connecticut, The (2009),,,,,
Young Thugs: Nostalgia (Kishiwada shônen gurentai: Bôkyô) (1998),,,,,,
Ong-Bak 2: The Beginning (Ong Bak 2) (2008),,,,,,
Girl with the Dragon Tattoo, The (Män som hatar kvinnor) (2009),,,,,
Never Ever! (Nigdy w zyciu!) (2004),,,,,,
Children of Leningradsky, The (2005),,,,,
Third Part of the Night, The (Trzecia czesc nocy) (1972),,,,,
California Dreamin' (Nesfarsit) (2007),,,,,,
Counter Investigation (Contre-enquête) (2007),,,,,,
Land of Silence and Darkness (Land des Schweigens und der Dunkelheit) (1971),,,,,,
Baader Meinhof Komplex, Der (2008),,,,,
Gray Man, The (2007),,,,,
With Fire and Sword (Ogniem i mieczem) (1999),,,,,,
Cake Eaters, The (2007),,,,,
Black Balloon, The (2008),,,,,
Lucky Ones, The (2008),,,,,
My Friend Henry (Ystäväni Henry) (2004),,,,,,
Bar at the Victoria Station, A (Bar na Victorii) (2003),,,,,
Land of Happines (Onnen maa) (1993),,,,,,
Your Life in 65 (Tu vida en 65') (2006),,,,,,
Lonely Man, The (1957),,,,,
Dating Games People Play (2005),,,,,,
Pekka ja Pätkä lumimiehen jäljillä (1954),,,,,,
Fast & Furious (Fast and the Furious 4, The) (2009),,,,,
Sanshiro Sugata (Judo Saga) (Sugata Sanshirô) (1943),,,,,,
Sanshiro Sugata Part Two (Judo Saga II) (Zoku Sugata Sanshirô) (1945),,,,,,
Exterminating Angels, The (anges exterminateurs, Les) (2006),,,,
Force of One, A (1979),,,,,
Life Is What You Make It (Linha de Passe) (2008),,,,,,
Crime Wave (1954),,,,,,
Small Back Room, The (1949),,,,,
Double Trouble (1984),,,,,,
Lawless Breed, The (1953),,,,,
Strategy of the Snail, The (Estrategia del Caracol, La) (1993),,,,
Strike (Stachka) (1925),,,,,,
Magic of Méliès, The (magie Méliès, La) (1997),,,,
Damned United, The (2009),,,,,
Strong Man, The (1926),,,,,
Final Inquiry, The (Inquiry, The) (inchiesta, L') (2006),,,
Two Kilers (Kilerów 2-óch) (1999),,,,,,
Man Behind the Gun, The (1953),,,,,
Matrimonial Comedy (Komedia malzenska) (1994),,,,,,
Smart Set, The (1928),,,,,
Mammoth (Mammut) (2009),,,,,,
Days Between, The (In den Tag hinein) (2001),,,,,
Young Victoria, The (2009),,,,,
Intentions of Murder (a.k.a. Murderous Instincts) (Akai satsui) (1964),,,,,,
Antique (Sayangkoldong yangkwajajeom aentikeu) (2008),,,,,,
Girlfriend Experience, The (2009),,,,,
Turtles Are Surprisingly Fast Swimmers (Turtles Swim Faster Than Expected) (Kame wa igai to hayaku oyogu) (2005),,,,,,
Desert Trail, The (1935),,,,,
Life and Times of Allen Ginsberg, The (1994),,,,,
Great Buck Howard, The (2008),,,,,
Euphoria (Eyforiya) (2006),,,,,,
Cherry Blossoms (Kirschblüten - Hanami) (2008),,,,,,
Flatfoot on the Nile (Piedone d'Egitto) (1980),,,,,,
XIII: The Conspiracy (2008),,,,,,
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),,,,,,
Love Sick (Legaturi bolnavicioase) (2006),,,,,,
Girl from Monaco, The (fille de Monaco, La) (2008),,,,
Black Ice (Musta jää) (2007),,,,,,
Man with an Apartment (Czlowiek z M-3) (1969),,,,,,
I Hate Mondays, (Nie lubie poniedzialku) (1971),,,,,
S. Darko (S. Darko: A Donnie Darko Tale) (2009),,,,,,
Within Limits (Liikkumavara) (2009),,,,,,
Lady Takes a Chance, A (1943),,,,,
Emergency Escape, The (Wyjscie awaryjne) (1982),,,,,
Stolen Collection, (Skradziona kolekcja) (1979),,,,,
Django the Bastard (Strangers Gundown, The) (Django il bastardo) (1969),,,,,
Man from Monterey, The (1933),,,,,
Seduction of Joe Tynan, The (1979),,,,,
More Dead Than Alive (1968),,,,,,
Devil Is a Woman, The (1935),,,,,
Folks! (1992),,,,,,
Live! (2007),,,,,,
Merry Gentleman, The (2008),,,,,
Murder of Fred Hampton, The (1971),,,,,
Love Songs (Les chansons d'amour) (2007),,,,,,
Management (2008),,,,,,
Brothers Bloom, The (2008),,,,,
Cure for Love, A (Lekarstwo na milosc) (1966),,,,,
Our Folks (Sami swoi) (1967),,,,,,
Paisan (Paisà) (1946),,,,,,
Shall We Kiss? (Un baiser s'il vous plait) (2007),,,,,,
I Do: How to Get Married and Stay Single (Prête-moi ta main) (2006),,,,,,
Man with Bogart's Face, The (1980),,,,,
Caliber 9 (1972),,,,,,
Suzanne's Career (La carrière de Suzanne) (1963),,,,,,
Last House on the Left, The (2009),,,,,
Angel in Cracow (Aniol w Krakowie) (2002),,,,,,
Late Autumn (Akibiyori) (1960),,,,,,
Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005),,,,,,
Summer Hours (Heure d'été, L') (2008),,,,,
Two English Girls (Les deux anglaises et le continent) (1971),,,,,,
OSS 117 - Lost in Rio (OSS 117: Rio ne répond plus) (2009),,,,,,
Flame of New Orleans, The (1941),,,,,
War Game, The (1965),,,,,
Don (1978),,,,,,
Song Is Born, A (1948),,,,,
Ricky Rapper (Risto Räppääjä) (2008),,,,,,
Show (2003),,,,,,
Man from Utah, The (1934),,,,,
Wing and the Thigh, The (L'aile ou la cuisse) (1976),,,,,
Perched on a Tree (Sur un arbre perché) (1971),,,,,,
Snug as a Bug (U Pana Boga za piecem) (1998),,,,,,
Dead Snow (Død snø) (2009),,,,,,
Free Soul, A (1931),,,,,
Momma's Man (2008),,,,,,
Taking of Pelham 1 2 3, The (2009),,,,,
Hana and Alice (Hana to Arisu) (2004),,,,,,
Flame and Citron (Flammen & Citronen) (2008),,,,,,
In Therapy (Divã) (2009),,,,,,
Went the Day Well? (1942),,,,,,
Suspect X (Yôgisha X no kenshin) (2008),,,,,,
Spiritual Kung Fu (Quan jing) (1978),,,,,,
Big Man Japan (Dai-Nihonjin) (2007),,,,,,
Stoning of Soraya M., The (2008),,,,,
Crawling Hand, The (1963),,,,,
Pekka ja Pätkä neekereinä (1960),,,,,,
3 on a Couch (Three on a Couch) (1966),,,,,,
Promise Me This (Zavet) (2007),,,,,,
Land That Time Forgot, The (1975),,,,,
Alibi, The (Lies and Alibis) (2006),,,,,
Hurt Locker, The (2008),,,,,
Not on Your Life (Verdugo, El) (Executioner, The) (1963),,,,
How I Unleashed World War II (Jak rozpetalem II wojne swiatowa) (1970),,,,,,
Brunet Will Call (Brunet wieczorowa pora) (1976),,,,,,
Limits of Control, The (2009),,,,,
K2 (1991),,,,,,
Tulpan (2008),,,,,,
File on Thelma Jordan, The (1950),,,,,
120 (2008),,,,,,
Daria: Is It College Yet? (2002),,,,,,
Irene, Go Home! (Irena do domu!) (1955),,,,,
Mumia Abu-Jamal: A Case for Reasonable Doubt? (1997),,,,,,
Kambakkht Ishq (Incredible Love) (2009),,,,,,
I Have Found It (Kandukondain Kandukondain) (2000),,,,,,
Lucky Texan, The (1934),,,,,
Through the Olive Trees (Zire darakhatan zeyton) (1994),,,,,,
News from a Personal War (Notícias de uma Guerra Particular) (1999),,,,,,
7th Heaven (Seventh Heaven) (1927),,,,,,
Brüno (Bruno) (2009),,,,,,
Iron Maiden: Flight 666 (2009),,,,,,
Roots (1977),,,,,,
Mélo (1986),,,,,,
Corridors of Time: The Visitors II, The (Couloirs du temps: Les visiteurs 2, Les) (1998),,,,
Who Killed Nancy? (2009),,,,,,
Mark of Cain, The (2007),,,,,
Strawberry Blonde, The (1941),,,,,
Muppet Musicians of Bremen, The (1972),,,,,
Brief Vacation, A (breve vacanza, Una) (1973),,,,
Fast and the Furious, The (1955),,,,,
Game of Death II (a.k.a. Tower of Death) (Si wang ta) (1981),,,,,,
Imaginarium of Doctor Parnassus, The (2009),,,,,
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),,,,,,
Giant of Marathon, The (Battaglia di Maratona, La) (1959),,,,
Haaveiden kehä (2002),,,,,,
Cold Water (Eau Froide, L') (1994),,,,,
Vault of Horror, The (1973),,,,,
Dark Backward, The (1991),,,,,
Answer Man, The (a.k.a. Arlen Faber) (2009),,,,,
Gang's All Here, The (1943),,,,,
Fragments (2008),,,,,,
Ugly Truth, The (2009),,,,,
Heimat - A Chronicle of Germany (Heimat - Eine deutsche Chronik) (1984),,,,,,
Perfect Getaway, A (2009),,,,,
Fanfan la Tulipe (Fan-Fan the Tulip) (1952),,,,,,
Dallas 362 (2003),,,,,,
District 9 (2009),,,,,,
Beaches of Agnes, The (Plages d'Agnès, Les) (2008),,,,
Family Secret, A (Le secret de ma mère) (2006),,,,,
Friend Zone (Pagafantas) (2009),,,,,,
Black Box, The (La boîte noire) (2005),,,,,
My Stars (Mes stars et moi) (2008),,,,,,
Séraphine (2008),,,,,,
Daddy Nostalgia (Daddy Nostalgie) (1990),,,,,,
Silent Night, Deadly Night Part 2 (1987),,,,,
Left-Hand Side of the Fridge, The (Moitié gauche du frigo, La) (2000),,,,
A Summer at Grandpa's (1984),,,,,,
One and Only, The (Eneste ene, Den) (1999),,,,
Jerusalema (Gangster's Paradise: Jerusalema) (2008),,,,,,
Wings of Hope (Julianes Sturz in den Dschungel) (2000),,,,,,
Trail Beyond, The (1934),,,,,
Army Brats (Schatjes!) (1984),,,,,,
Star Packer, The (1934),,,,,
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007),,,,,,
Love Hina Christmas Special: Silent Eve (Rabu Hina kurisumasu supesharu: Sairento ivu) (2000),,,,,,
Floating Clouds  (Ukigumo) (1955),,,,,,
Japanese Girls at the Harbor (Minato no nihon musume) (1933),,,,,,
Goods: Live Hard, Sell Hard, The (2009),,,,
Just Sex and Nothing Else (Csak szex és más semmi) (2005),,,,,,
Ignition (2001),,,,,,
Time Traveler's Wife, The (2009),,,,,
Traffic Affairs (Mitfahrer) (2004),,,,,,
I Can't Think Straight (2007),,,,,,
Harvard Beats Yale 29-29 (2008),,,,,,
Second Wind (Le deuxième souffle) (Second Breath) (1966),,,,,,
Huhwihaji Anha (No Regret) (2006),,,,,,
Detroit Metal City (Detoroito Metaru Shiti) (2008),,,,,,
Haunting of Molly Hartley, The (2008),,,,,
Abandon Ship! (Seven Waves Away) (1957),,,,,,
Side Street (1949),,,,,,
Adoration (2008),,,,,,
Bronson (2009),,,,,,
Curiosity of Chance, The (2006),,,,,
Susana (Devil and the Flesh, The) (1951),,,,,
Hurricane Express, The (1932),,,,,
Paris (2007),,,,,,
Secret of Moonacre, The (2008),,,,,
Olympia Part One: Festival of the Nations (Olympia 1. Teil - Fest der Völker) (1938),,,,,,
Olympia Part Two: Festival of Beauty (Olympia 2. Teil - Fest der Schönheit) (1938),,,,,,
Cell 2, The (2009),,,,,
Queen Kelly (1929),,,,,,
Master Touch, The (Un uomo da rispettare) (1972),,,,,
Lorna's Silence (Le silence de Lorna) (2008),,,,,,
Day in the Country, A (Partie de campagne) (1936),,,,,
7 Women (a.k.a. Seven Women) (1966),,,,,,
Pom Pom Girls, The (1976),,,,,
Goodbye Solo (2008),,,,,,
To Each His Own Cinema (Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence) (2007),,,,,,
London (1994),,,,,,
Paris 36 (Faubourg 36) (2008),,,,,,
Good (2008),,,,,,
Romance of Astrea and Celadon, The (Les amours d'Astrée et de Céladon) (2007),,,,,
Boyfriends and Girlfriends (a.k.a. My Girlfriend's Boyfriend) (L'ami de mon amie) (1987),,,,,,
Cargo 200 (Gruz 200) (2007),,,,,,
Meteor (2009),,,,,,
Dark Corner, The (1946),,,,,
Good Marriage, A (Beau mariage, Le) (1982),,,,
Videocracy (Videocracy - Basta apparire) (2009),,,,,,
Secret in Their Eyes, The (El secreto de sus ojos) (2009),,,,,
Day After Trinity, The (1981),,,,,
9 (2009),,,,,,
Cosmonaut (Cosmonauta) (2009),,,,,,
Carry on Screaming! (1966),,,,,,
Detective (Détective) (1985),,,,,,
Three Musketeers, The (1933),,,,,
White Ribbon, The (Das weiße Band) (2009),,,,,
Most Hated Family in America, The (2007),,,,,
Paraíso Travel (2008),,,,,,
Death of a Cyclist (Muerte de un ciclista) (1955),,,,,,
Men Who Stare at Goats, The (2009),,,,,
Immigrants (L.A. Dolce Vita) (2008),,,,,,
Welcome Mr. Marshall (Bienvenido Mister Marshall) (1953),,,,,,
All's Well (1972),,,,,,
Street of Shame (Akasen chitai) (1956),,,,,,
Travelling Players, The (O thiasos) (1975),,,,,
